,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population
24,24.0,Bangladesh,32078,1873.0,452.0,20.0,6486.0,25140.0,1.0,195.0,3.0,234675.0,1427.0,164510959.0
25,25.0,Singapore,31068,642.0,23.0,0.0,12995.0,18050.0,8.0,5315.0,4.0,294414.0,50367.0,5845390.0
26,26.0,Switzerland,30725,18.0,1904.0,1.0,27900.0,921.0,51.0,3553.0,220.0,367037.0,42443.0,8647829.0
27,27.0,Portugal,30200,0.0,1289.0,0.0,7590.0,21321.0,84.0,2961.0,126.0,689705.0,67620.0,10199740.0
28,28.0,UAE,27892,0.0,241.0,0.0,13798.0,13853.0,1.0,2824.0,24.0,1600923.0,162082.0,9877270.0
29,29.0,Ireland,24506,0.0,1592.0,0.0,21060.0,1854.0,54.0,4969.0,323.0,295626.0,59943.0,4931752.0
30,30.0,Indonesia,21745,949.0,1351.0,25.0,5249.0,15145.0,0.0,80.0,5.0,239740.0,877.0,273208135.0
31,31.0,Poland,20838,219.0,990.0,8.0,8977.0,10871.0,160.0,551.0,26.0,719571.0,19011.0,37850876.0
32,32.0,Ukraine,20580,432.0,605.0,17.0,6929.0,13046.0,256.0,470.0,14.0,277712.0,6346.0,43760129.0
33,33.0,Kuwait,20464,900.0,148.0,10.0,5747.0,14569.0,192.0,4800.0,35.0,268154.0,62895.0,4263538.0
34,34.0,South Africa,20125,0.0,397.0,0.0,10104.0,9624.0,119.0,340.0,7.0,543032.0,9169.0,59226304.0
35,35.0,Colombia,19131,0.0,682.0,0.0,4575.0,13874.0,136.0,376.0,13.0,235948.0,4642.0,50823711.0
36,36.0,Romania,17857,145.0,1170.0,4.0,11187.0,5500.0,196.0,928.0,61.0,361566.0,18782.0,19250526.0
37,37.0,Israel,16712,22.0,279.0,0.0,14085.0,2348.0,47.0,1817.0,30.0,536306.0,58309.0,9197590.0
38,38.0,Japan,16513,0.0,796.0,0.0,13005.0,2712.0,176.0,131.0,6.0,265502.0,2099.0,126515903.0
39,39.0,Austria,16486,50.0,639.0,4.0,15037.0,810.0,28.0,1832.0,71.0,396363.0,44036.0,9000927.0
40,40.0,Egypt,15786,0.0,707.0,0.0,4374.0,10705.0,41.0,155.0,7.0,135000.0,1322.0,102115130.0
41,41.0,Dominican Republic,13989,0.0,456.0,0.0,7572.0,5961.0,113.0,1291.0,42.0,61330.0,5660.0,10836077.0
42,42.0,Philippines,13777,180.0,863.0,6.0,3177.0,9737.0,81.0,126.0,8.0,278041.0,2541.0,109419831.0
43,43.0,Denmark,11230,0.0,561.0,0.0,9764.0,905.0,23.0,1940.0,97.0,514765.0,88905.0,5790054.0
44,44.0,S. Korea,11165,23.0,266.0,2.0,10194.0,705.0,15.0,218.0,5.0,814420.0,15887.0,51264600.0
45,45.0,Serbia,11024,0.0,237.0,0.0,5541.0,5246.0,12.0,1261.0,27.0,209797.0,24002.0,8740939.0
46,46.0,Argentina,10649,0.0,433.0,0.0,3062.0,7154.0,171.0,236.0,10.0,121278.0,2686.0,45150850.0
47,47.0,Panama,10267,0.0,295.0,0.0,6275.0,3697.0,72.0,2384.0,68.0,55018.0,12774.0,4307167.0
48,48.0,Afghanistan,9998,782.0,216.0,11.0,1040.0,8742.0,19.0,258.0,6.0,29417.0,758.0,38826954.0
49,49.0,Czechia,8813,0.0,312.0,0.0,6025.0,2476.0,29.0,823.0,29.0,387127.0,36157.0,10706906.0
50,50.0,Bahrain,8774,360.0,12.0,0.0,4462.0,4300.0,8.0,5178.0,7.0,274711.0,162137.0,1694317.0
51,51.0,Norway,8332,0.0,235.0,0.0,7727.0,370.0,13.0,1538.0,43.0,229769.0,42419.0,5416680.0
52,52.0,Kazakhstan,7919,322.0,35.0,0.0,4096.0,3788.0,31.0,422.0,2.0,635712.0,33901.0,18752041.0
53,53.0,Algeria,7918,0.0,582.0,0.0,4256.0,3080.0,22.0,181.0,13.0,0.0,0.0,43761439.0
54,54.0,Morocco,7375,43.0,197.0,0.0,4573.0,2605.0,1.0,200.0,5.0,132968.0,3607.0,36862538.0
55,55.0,Nigeria,7261,0.0,221.0,0.0,2007.0,5033.0,7.0,35.0,1.0,41907.0,204.0,205542168.0
56,56.0,Oman,7257,463.0,34.0,0.0,1848.0,5375.0,31.0,1425.0,7.0,72000.0,14142.0,5091392.0
57,57.0,Malaysia,7185,48.0,115.0,0.0,5912.0,1158.0,9.0,222.0,4.0,500469.0,15485.0,32320265.0
58,58.0,Australia,7111,16.0,102.0,1.0,6494.0,515.0,5.0,279.0,4.0,1192262.0,46815.0,25467448.0
59,59.0,Moldova,6847,0.0,237.0,0.0,3369.0,3241.0,251.0,1697.0,59.0,40565.0,10053.0,4034922.0
60,60.0,Ghana,6617,131.0,31.0,0.0,1976.0,4610.0,16.0,213.0,1.0,193705.0,6249.0,30998526.0
61,61.0,Finland,6568,31.0,306.0,0.0,4800.0,1462.0,21.0,1186.0,55.0,165600.0,29893.0,5539822.0
62,62.0,Armenia,6302,374.0,77.0,3.0,2936.0,3289.0,10.0,2127.0,26.0,49080.0,16566.0,2962665.0
63,63.0,Bolivia,5579,392.0,230.0,15.0,575.0,4774.0,3.0,479.0,20.0,14803.0,1270.0,11655388.0
64,64.0,Cameroon,4400,0.0,159.0,0.0,1822.0,2419.0,28.0,166.0,6.0,0.0,0.0,26468556.0
65,65.0,Luxembourg,3981,0.0,109.0,0.0,3748.0,124.0,5.0,6371.0,174.0,65724.0,105186.0,624836.0
66,66.0,Iraq,3964,0.0,147.0,0.0,2532.0,1285.0,0.0,99.0,4.0,175830.0,4383.0,40118148.0
67,67.0,Azerbaijan,3855,0.0,46.0,0.0,2399.0,1410.0,42.0,381.0,5.0,252496.0,24927.0,10129286.0
68,68.0,Hungary,3713,35.0,482.0,6.0,1655.0,1576.0,21.0,384.0,50.0,159260.0,16482.0,9662856.0
69,69.0,Honduras,3477,273.0,167.0,11.0,439.0,2871.0,13.0,352.0,17.0,11820.0,1196.0,9886968.0
70,70.0,Sudan,3378,0.0,137.0,0.0,372.0,2869.0,0.0,77.0,3.0,394.0,9.0,43730378.0
71,71.0,Guinea,3067,0.0,19.0,0.0,1575.0,1473.0,24.0,234.0,1.0,13726.0,1049.0,13090666.0
72,72.0,Thailand,3040,3.0,56.0,0.0,2916.0,68.0,61.0,44.0,0.8,328073.0,4701.0,69781627.0
73,73.0,Uzbekistan,3036,8.0,13.0,0.0,2492.0,531.0,4.0,91.0,0.4,460000.0,13766.0,33415264.0
74,74.0,Senegal,2976,67.0,34.0,1.0,1416.0,1526.0,6.0,178.0,2.0,34082.0,2042.0,16691939.0
75,75.0,Greece,2874,0.0,169.0,0.0,1374.0,1331.0,19.0,276.0,16.0,147958.0,14188.0,10428193.0
76,76.0,Guatemala,2743,231.0,51.0,3.0,222.0,2470.0,5.0,153.0,3.0,25464.0,1424.0,17877985.0
77,77.0,Tajikistan,2551,0.0,44.0,0.0,1089.0,1418.0,0.0,268.0,5.0,0.0,0.0,9512877.0
78,78.0,Bulgaria,2408,36.0,126.0,1.0,808.0,1474.0,29.0,346.0,18.0,73210.0,10528.0,6953654.0
79,79.0,Bosnia and Herzegovina,2391,19.0,141.0,0.0,1662.0,588.0,4.0,728.0,43.0,58694.0,17879.0,3282865.0
80,80.0,Ivory Coast,2341,0.0,29.0,0.0,1146.0,1166.0,0.0,89.0,1.0,22233.0,845.0,26301903.0
81,81.0,Djibouti,2270,0.0,10.0,0.0,1064.0,1196.0,0.0,2301.0,10.0,22097.0,22402.0,986402.0
82,82.0,Croatia,2243,0.0,99.0,0.0,2011.0,133.0,5.0,546.0,24.0,59911.0,14585.0,4107806.0
83,83.0,DRC,2025,80.0,63.0,0.0,312.0,1650.0,0.0,23.0,0.7,0.0,0.0,89234236.0
84,84.0,North Macedonia,1921,0.0,112.0,0.0,1387.0,422.0,21.0,922.0,54.0,24018.0,11528.0,2083383.0
85,85.0,Cuba,1916,0.0,81.0,0.0,1631.0,204.0,4.0,169.0,7.0,90911.0,8026.0,11327329.0
86,86.0,Estonia,1821,14.0,64.0,0.0,1526.0,231.0,2.0,1373.0,48.0,75249.0,56730.0,1326442.0
87,87.0,El Salvador,1819,94.0,33.0,0.0,570.0,1216.0,25.0,281.0,5.0,70225.0,10833.0,6482732.0
88,88.0,Iceland,1803,0.0,10.0,0.0,1791.0,2.0,0.0,5287.0,29.0,58225.0,170745.0,341006.0
89,89.0,Gabon,1728,0.0,12.0,0.0,402.0,1314.0,6.0,779.0,5.0,8622.0,3884.0,2219628.0
90,90.0,Lithuania,1616,12.0,63.0,2.0,1135.0,418.0,17.0,593.0,23.0,264882.0,97171.0,2725949.0
91,91.0,Somalia,1594,0.0,61.0,0.0,204.0,1329.0,2.0,101.0,4.0,0.0,0.0,15840585.0
92,92.0,Mayotte,1521,0.0,19.0,0.0,894.0,608.0,11.0,5591.0,70.0,5200.0,19114.0,272048.0
93,93.0,Slovakia,1504,1.0,28.0,0.0,1280.0,196.0,1.0,275.0,5.0,156765.0,28715.0,5459368.0
94,94.0,New Zealand,1504,0.0,21.0,0.0,1455.0,28.0,1.0,312.0,4.0,255850.0,53103.0,4818013.0
95,95.0,Slovenia,1468,0.0,106.0,0.0,1340.0,22.0,3.0,706.0,51.0,75110.0,36130.0,2078908.0
96,96.0,Kyrgyzstan,1365,15.0,14.0,0.0,957.0,394.0,5.0,210.0,2.0,98281.0,15092.0,6512107.0
97,97.0,Maldives,1274,0.0,4.0,0.0,109.0,1161.0,9.0,2362.0,7.0,11775.0,21827.0,539469.0
98,98.0,Kenya,1192,31.0,50.0,0.0,380.0,762.0,1.0,22.0,0.9,55074.0,1027.0,53634644.0
99,99.0,Guinea-Bissau,1114,0.0,6.0,0.0,42.0,1066.0,0.0,568.0,3.0,1500.0,764.0,1962592.0
100,100.0,Lebanon,1086,0.0,26.0,0.0,663.0,397.0,4.0,159.0,4.0,69610.0,10194.0,6828536.0
101,101.0,Sri Lanka,1068,0.0,9.0,0.0,660.0,399.0,1.0,50.0,0.4,51094.0,2387.0,21403762.0
102,102.0,Hong Kong,1066,0.0,4.0,0.0,1029.0,33.0,1.0,142.0,0.5,202930.0,27092.0,7490427.0
103,103.0,Tunisia,1048,0.0,47.0,0.0,903.0,98.0,3.0,89.0,4.0,46628.0,3950.0,11805138.0
104,104.0,Latvia,1046,16.0,22.0,0.0,712.0,312.0,2.0,554.0,12.0,97846.0,51819.0,1888237.0
105,105.0,Albania,989,8.0,31.0,0.0,783.0,175.0,5.0,344.0,11.0,13133.0,4563.0,2878120.0
106,106.0,Mali,969,0.0,62.0,0.0,560.0,347.0,0.0,48.0,3.0,3483.0,173.0,20181288.0
107,107.0,Equatorial Guinea,960,0.0,11.0,0.0,165.0,784.0,0.0,687.0,8.0,854.0,611.0,1397381.0
108,108.0,Venezuela,944,0.0,10.0,0.0,262.0,672.0,2.0,33.0,0.4,735426.0,25855.0,28444157.0
109,109.0,Niger,937,0.0,60.0,0.0,764.0,113.0,0.0,39.0,2.0,5971.0,248.0,24098369.0
110,110.0,Cyprus,927,0.0,17.0,0.0,561.0,349.0,10.0,768.0,14.0,95349.0,79035.0,1206416.0
111,111.0,Zambia,920,0.0,7.0,0.0,336.0,577.0,1.0,50.0,0.4,20011.0,1092.0,18322805.0
112,112.0,Costa Rica,911,0.0,10.0,0.0,600.0,301.0,4.0,179.0,2.0,22554.0,4432.0,5089080.0
113,113.0,Paraguay,838,0.0,11.0,0.0,264.0,563.0,0.0,118.0,2.0,21987.0,3087.0,7122901.0
114,114.0,Burkina Faso,814,0.0,52.0,0.0,672.0,90.0,0.0,39.0,2.0,0.0,0.0,20835388.0
115,115.0,Haiti,812,78.0,25.0,0.0,22.0,765.0,0.0,71.0,2.0,2582.0,227.0,11387245.0
116,116.0,Andorra,762,0.0,51.0,0.0,652.0,59.0,3.0,9864.0,660.0,3750.0,48542.0,77252.0
117,117.0,Uruguay,753,0.0,20.0,0.0,603.0,130.0,5.0,217.0,6.0,37178.0,10707.0,3472463.0
118,118.0,Georgia,728,5.0,12.0,0.0,509.0,207.0,6.0,182.0,3.0,45707.0,11456.0,3989952.0
119,119.0,Diamond Princess,712,0.0,13.0,0.0,651.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0
120,120.0,Jordan,700,0.0,9.0,0.0,461.0,230.0,5.0,69.0,0.9,159320.0,15632.0,10192121.0
121,121.0,San Marino,665,4.0,42.0,1.0,266.0,357.0,1.0,19603.0,1238.0,3968.0,116967.0,33924.0
122,122.0,Chad,611,0.0,58.0,0.0,196.0,357.0,0.0,37.0,4.0,0.0,0.0,16369695.0
123,123.0,Malta,609,9.0,6.0,0.0,473.0,130.0,1.0,1380.0,14.0,59511.0,134817.0,441420.0
124,124.0,Sierra Leone,606,0.0,38.0,0.0,230.0,338.0,0.0,76.0,5.0,0.0,0.0,7958421.0
125,125.0,Nepal,584,68.0,3.0,0.0,70.0,511.0,1.0,20.0,0.1,132195.0,4546.0,29077526.0
126,126.0,South Sudan,563,0.0,6.0,0.0,6.0,551.0,0.0,50.0,0.5,3356.0,300.0,11179329.0
127,127.0,Channel Islands,558,0.0,45.0,0.0,508.0,5.0,0.0,3213.0,259.0,5342.0,30756.0,173689.0
128,128.0,Jamaica,544,10.0,9.0,0.0,191.0,344.0,0.0,184.0,3.0,9554.0,3228.0,2959800.0
129,129.0,Tanzania,509,0.0,21.0,0.0,183.0,305.0,7.0,9.0,0.4,0.0,0.0,59531669.0
130,130.0,Ethiopia,494,61.0,5.0,0.0,151.0,338.0,0.0,4.0,0.04,76962.0,671.0,114630633.0
131,131.0,Madagascar,488,40.0,2.0,0.0,138.0,348.0,4.0,18.0,0.07,5670.0,205.0,27607404.0
132,132.0,CAR,479,0.0,0.0,0.0,18.0,461.0,0.0,99.0,0.0,11570.0,2400.0,4820296.0
133,133.0,Congo,469,0.0,16.0,0.0,137.0,316.0,0.0,85.0,3.0,0.0,0.0,5502218.0
134,134.0,Réunion,449,0.0,1.0,0.0,411.0,37.0,2.0,502.0,1.0,17200.0,19226.0,894627.0
135,135.0,Taiwan,441,0.0,7.0,0.0,411.0,23.0,0.0,19.0,0.3,70526.0,2962.0,23812274.0
136,136.0,Palestine,423,0.0,2.0,0.0,346.0,75.0,0.0,83.0,0.4,44876.0,8821.0,5087651.0
137,137.0,Togo,363,0.0,12.0,0.0,121.0,230.0,0.0,44.0,1.0,14767.0,1789.0,8256184.0
138,138.0,Cabo Verde,362,0.0,3.0,0.0,130.0,229.0,0.0,652.0,5.0,1307.0,2354.0,555327.0
139,139.0,Isle of Man,336,0.0,24.0,0.0,303.0,9.0,2.0,3954.0,282.0,4393.0,51691.0,84985.0
140,140.0,Mauritius,332,0.0,10.0,0.0,322.0,0.0,0.0,261.0,8.0,101052.0,79472.0,1271548.0
141,141.0,Montenegro,324,0.0,9.0,0.0,314.0,1.0,0.0,516.0,14.0,10167.0,16188.0,628058.0
142,142.0,Vietnam,324,0.0,0.0,0.0,267.0,57.0,2.0,3.0,0.0,275000.0,2828.0,97243794.0
143,143.0,Rwanda,321,0.0,0.0,0.0,222.0,99.0,0.0,25.0,0.0,55968.0,4334.0,12914674.0
144,144.0,Nicaragua,279,0.0,17.0,0.0,199.0,63.0,0.0,42.0,3.0,0.0,0.0,6615901.0
145,145.0,French Guiana,261,0.0,1.0,0.0,141.0,119.0,0.0,877.0,3.0,0.0,0.0,297772.0
146,146.0,Sao Tome and Principe,251,0.0,8.0,0.0,4.0,239.0,0.0,1148.0,37.0,175.0,800.0,218697.0
147,147.0,Liberia,249,0.0,24.0,0.0,136.0,89.0,0.0,49.0,5.0,0.0,0.0,5043867.0
148,148.0,Eswatini,225,0.0,2.0,0.0,119.0,104.0,0.0,194.0,2.0,4994.0,4309.0,1158855.0
149,149.0,Yemen,209,0.0,33.0,0.0,11.0,165.0,0.0,7.0,1.0,120.0,4.0,29750177.0
150,150.0,Myanmar,201,2.0,6.0,0.0,116.0,79.0,0.0,4.0,0.1,17152.0,315.0,54370772.0
151,151.0,Mauritania,200,0.0,6.0,0.0,7.0,187.0,0.0,43.0,1.0,2583.0,557.0,4635263.0
152,152.0,Martinique,197,0.0,14.0,0.0,91.0,92.0,0.0,525.0,37.0,0.0,0.0,375295.0
153,153.0,Faeroe Islands,187,0.0,0.0,0.0,187.0,0.0,0.0,3829.0,0.0,9084.0,185984.0,48843.0
154,154.0,Uganda,175,0.0,0.0,0.0,68.0,107.0,0.0,4.0,0.0,83788.0,1839.0,45566443.0
155,155.0,Mozambique,164,0.0,0.0,0.0,48.0,116.0,0.0,5.0,0.0,7480.0,240.0,31151425.0
156,156.0,Guadeloupe,156,0.0,13.0,0.0,115.0,28.0,3.0,390.0,32.0,3573.0,8930.0,400117.0
157,157.0,Gibraltar,151,0.0,0.0,0.0,147.0,4.0,0.0,4482.0,0.0,6101.0,181082.0,33692.0
158,158.0,Brunei,141,0.0,1.0,0.0,136.0,4.0,2.0,323.0,2.0,18411.0,42128.0,437024.0
159,159.0,Mongolia,141,0.0,0.0,0.0,30.0,111.0,27.0,43.0,0.0,12341.0,3771.0,3272373.0
160,160.0,Benin,135,0.0,3.0,0.0,61.0,71.0,0.0,11.0,0.2,26792.0,2217.0,12085815.0
161,161.0,Cayman Islands,129,0.0,1.0,0.0,61.0,67.0,0.0,1965.0,15.0,8426.0,128373.0,65637.0
162,162.0,Bermuda,128,0.0,9.0,0.0,81.0,38.0,2.0,2055.0,144.0,6133.0,98441.0,62301.0
163,163.0,Guyana,127,0.0,10.0,0.0,57.0,60.0,3.0,162.0,13.0,1366.0,1738.0,786150.0
164,164.0,Cambodia,124,1.0,0.0,0.0,122.0,2.0,1.0,7.0,0.0,16007.0,959.0,16693317.0
165,165.0,Trinidad and Tobago,116,0.0,8.0,0.0,108.0,0.0,0.0,83.0,6.0,2866.0,2049.0,1399011.0
166,166.0,Aruba,101,0.0,3.0,0.0,95.0,3.0,4.0,946.0,28.0,2061.0,19313.0,106718.0
167,167.0,Bahamas,97,0.0,11.0,0.0,44.0,42.0,1.0,247.0,28.0,1910.0,4862.0,392836.0
168,168.0,Monaco,97,0.0,4.0,0.0,90.0,3.0,1.0,2474.0,102.0,0.0,0.0,39212.0
169,169.0,Barbados,90,0.0,7.0,0.0,70.0,13.0,4.0,313.0,24.0,4541.0,15804.0,287338.0
170,170.0,Malawi,82,0.0,3.0,0.0,28.0,51.0,1.0,4.0,0.2,2411.0,126.0,19071854.0
171,171.0,Liechtenstein,82,0.0,1.0,0.0,55.0,26.0,0.0,2151.0,26.0,900.0,23612.0,38117.0
172,172.0,Comoros,78,0.0,1.0,0.0,18.0,59.0,0.0,90.0,1.0,0.0,0.0,867471.0
173,173.0,Sint Maarten,77,0.0,15.0,0.0,59.0,3.0,1.0,1798.0,350.0,437.0,10205.0,42823.0
174,174.0,Libya,72,0.0,3.0,0.0,38.0,31.0,0.0,10.0,0.4,4351.0,634.0,6860947.0
175,175.0,Syria,70,11.0,4.0,0.0,37.0,29.0,0.0,4.0,0.2,0.0,0.0,17451066.0
176,176.0,Angola,60,0.0,3.0,0.0,17.0,40.0,0.0,2.0,0.09,6136.0,187.0,32743009.0
177,177.0,French Polynesia,60,0.0,0.0,0.0,60.0,0.0,0.0,214.0,0.0,3873.0,13796.0,280735.0
178,178.0,Zimbabwe,51,0.0,4.0,0.0,18.0,29.0,0.0,3.0,0.3,28019.0,1888.0,14838856.0
179,179.0,Macao,45,0.0,0.0,0.0,45.0,0.0,0.0,69.0,0.0,0.0,0.0,648355.0
180,180.0,Burundi,42,0.0,1.0,0.0,20.0,21.0,0.0,4.0,0.08,284.0,24.0,11848359.0
181,181.0,Saint Martin,40,0.0,3.0,0.0,33.0,4.0,1.0,1036.0,78.0,0.0,0.0,38592.0
182,182.0,Eritrea,39,0.0,0.0,0.0,39.0,0.0,0.0,11.0,0.0,0.0,0.0,3540980.0
183,183.0,Botswana,30,0.0,1.0,0.0,19.0,10.0,0.0,13.0,0.4,16100.0,6862.0,2346198.0
184,184.0,Antigua and Barbuda,25,0.0,3.0,0.0,19.0,3.0,1.0,256.0,31.0,183.0,1870.0,97842.0
185,185.0,Gambia,25,0.0,1.0,0.0,13.0,11.0,0.0,10.0,0.4,1476.0,613.0,2408601.0
186,186.0,Bhutan,24,3.0,0.0,0.0,6.0,18.0,0.0,31.0,0.0,15293.0,19844.0,770679.0
187,187.0,Timor-Leste,24,0.0,0.0,0.0,24.0,0.0,0.0,18.0,0.0,738.0,561.0,1315590.0
188,188.0,Grenada,22,0.0,0.0,0.0,17.0,5.0,4.0,196.0,0.0,3007.0,26736.0,112468.0
189,189.0,Namibia,20,1.0,0.0,0.0,14.0,6.0,0.0,8.0,0.0,2847.0,1123.0,2535696.0
190,190.0,Laos,19,0.0,0.0,0.0,14.0,5.0,0.0,3.0,0.0,5194.0,715.0,7263819.0
191,191.0,Belize,18,0.0,2.0,0.0,16.0,0.0,0.0,45.0,5.0,1435.0,3616.0,396811.0
192,192.0,Fiji,18,0.0,0.0,0.0,15.0,3.0,0.0,20.0,0.0,1300.0,1451.0,895748.0
193,193.0,New Caledonia,18,0.0,0.0,0.0,18.0,0.0,0.0,63.0,0.0,5454.0,19123.0,285200.0
194,194.0,Saint Lucia,18,0.0,0.0,0.0,18.0,0.0,0.0,98.0,0.0,867.0,4724.0,183538.0
195,195.0,St. Vincent Grenadines,18,0.0,0.0,0.0,14.0,4.0,0.0,162.0,0.0,175.0,1578.0,110903.0
196,196.0,Curaçao,16,0.0,1.0,0.0,14.0,1.0,0.0,98.0,6.0,504.0,3073.0,164022.0
197,197.0,Dominica,16,0.0,0.0,0.0,16.0,0.0,0.0,222.0,0.0,433.0,6017.0,71967.0
198,198.0,Saint Kitts and Nevis,15,0.0,0.0,0.0,15.0,0.0,0.0,282.0,0.0,391.0,7355.0,53159.0
199,199.0,Falkland Islands,13,0.0,0.0,0.0,13.0,0.0,0.0,3749.0,0.0,426.0,122837.0,3468.0
200,200.0,Turks and Caicos,12,0.0,1.0,0.0,10.0,1.0,0.0,310.0,26.0,109.0,2820.0,38659.0
201,201.0,Vatican City,12,0.0,0.0,0.0,2.0,10.0,0.0,14981.0,0.0,0.0,0.0,801.0
202,202.0,Montserrat,11,0.0,1.0,0.0,10.0,0.0,0.0,2204.0,200.0,36.0,7212.0,4992.0
203,203.0,Suriname,11,0.0,1.0,0.0,9.0,1.0,0.0,19.0,2.0,404.0,689.0,586063.0
204,204.0,Greenland,11,0.0,0.0,0.0,11.0,0.0,0.0,194.0,0.0,1767.0,31131.0,56760.0
205,205.0,Seychelles,11,0.0,0.0,0.0,11.0,0.0,0.0,112.0,0.0,0.0,0.0,98282.0
206,206.0,MS Zaandam,9,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
207,207.0,British Virgin Islands,8,0.0,1.0,0.0,6.0,1.0,0.0,265.0,33.0,167.0,5528.0,30209.0
208,208.0,Papua New Guinea,8,0.0,0.0,0.0,8.0,0.0,0.0,0.9,0.0,2402.0,269.0,8927762.0
209,209.0,Caribbean Netherlands,6,0.0,0.0,0.0,6.0,0.0,0.0,229.0,0.0,424.0,16185.0,26197.0
210,210.0,St. Barth,6,0.0,0.0,0.0,6.0,0.0,0.0,608.0,0.0,0.0,0.0,9874.0
211,211.0,Western Sahara,6,0.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,595623.0
212,212.0,Anguilla,3,0.0,0.0,0.0,3.0,0.0,0.0,200.0,0.0,0.0,0.0,14989.0
213,213.0,Lesotho,2,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.0,0.0,0.0,2140421.0
214,214.0,Saint Pierre Miquelon,1,0.0,0.0,0.0,1.0,0.0,0.0,173.0,0.0,0.0,0.0,5797.0
215,215.0,China,82971,0.0,4634.0,0.0,78258.0,79.0,9.0,58.0,3.0,0.0,0.0,1439323776.0
216,0.0,Total:,5328662,30455.0,340429.0,1004.0,2175290.0,2812943.0,44574.0,683.6,43.7,0.0,0.0,0.0
